Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.555, 0.000, 0.126, 0.062, 0.000, 0.126, 0.062, 0.000, 0.124, 0.063, -0.000, 0.121, 0.060, -0.000, 0.126, 0.063, -0.000, 0.129, 
0.570, 0.000, 0.120, 0.056, 0.000, 0.119, 0.056, 0.000, 0.118, 0.057, -0.000, 0.115, 0.054, -0.000, 0.120, 0.057, -0.000, 0.122, 
0.570, 0.000, 0.120, 0.056, 0.000, 0.119, 0.056, 0.000, 0.118, 0.057, -0.000, 0.115, 0.054, -0.000, 0.120, 0.057, -0.000, 0.122, 
0.570, 0.000, 0.120, 0.056, 0.000, 0.119, 0.056, 0.000, 0.118, 0.057, -0.000, 0.115, 0.054, -0.000, 0.120, 0.057, -0.000, 0.122, 
0.585, 0.000, 0.114, 0.050, 0.000, 0.113, 0.050, 0.000, 0.112, 0.051, -0.000, 0.110, 0.048, -0.000, 0.114, 0.051, -0.000, 0.116, 
0.585, 0.000, 0.114, 0.050, 0.000, 0.113, 0.050, 0.000, 0.112, 0.051, -0.000, 0.110, 0.048, -0.000, 0.114, 0.051, -0.000, 0.116, 
0.585, 0.000, 0.114, 0.050, 0.000, 0.113, 0.050, 0.000, 0.112, 0.051, -0.000, 0.110, 0.048, -0.000, 0.114, 0.051, -0.000, 0.116, 
0.600, 0.000, 0.109, 0.045, 0.000, 0.108, 0.045, 0.000, 0.107, 0.046, -0.000, 0.105, 0.043, -0.000, 0.109, 0.046, -0.000, 0.110, 
0.600, 0.000, 0.109, 0.045, 0.000, 0.108, 0.045, 0.000, 0.107, 0.046, -0.000, 0.105, 0.043, -0.000, 0.109, 0.046, -0.000, 0.110, 
0.600, 0.000, 0.109, 0.045, 0.000, 0.108, 0.045, 0.000, 0.107, 0.046, -0.000, 0.105, 0.043, -0.000, 0.109, 0.046, -0.000, 0.110, 
0.615, 0.000, 0.104, 0.040, 0.000, 0.103, 0.040, 0.000, 0.103, 0.041, -0.000, 0.100, 0.039, -0.000, 0.104, 0.041, -0.000, 0.105, 
0.615, 0.000, 0.104, 0.040, 0.000, 0.103, 0.040, 0.000, 0.103, 0.041, -0.000, 0.100, 0.039, -0.000, 0.104, 0.041, -0.000, 0.105, 
0.615, 0.000, 0.104, 0.040, 0.000, 0.103, 0.040, 0.000, 0.103, 0.041, -0.000, 0.100, 0.039, -0.000, 0.104, 0.041, -0.000, 0.105, 
0.630, 0.000, 0.100, 0.036, 0.000, 0.099, 0.035, 0.000, 0.098, 0.037, -0.000, 0.096, 0.035, -0.000, 0.100, 0.037, -0.000, 0.101, 
0.630, 0.000, 0.100, 0.036, 0.000, 0.099, 0.035, 0.000, 0.098, 0.037, -0.000, 0.096, 0.035, -0.000, 0.100, 0.037, -0.000, 0.101, 
0.630, 0.000, 0.100, 0.036, 0.000, 0.099, 0.035, 0.000, 0.098, 0.037, -0.000, 0.096, 0.035, -0.000, 0.100, 0.037, -0.000, 0.101, 
0.645, 0.000, 0.096, 0.032, 0.000, 0.095, 0.031, 0.000, 0.095, 0.033, -0.000, 0.093, 0.031, -0.000, 0.096, 0.033, -0.000, 0.097, 
0.645, 0.000, 0.096, 0.032, 0.000, 0.095, 0.031, 0.000, 0.095, 0.033, -0.000, 0.093, 0.031, -0.000, 0.096, 0.033, -0.000, 0.097, 
0.645, 0.000, 0.096, 0.032, 0.000, 0.095, 0.031, 0.000, 0.095, 0.033, -0.000, 0.093, 0.031, -0.000, 0.096, 0.033, -0.000, 0.097, 
0.660, 0.000, 0.092, 0.029, 0.000, 0.091, 0.028, 0.000, 0.091, 0.029, -0.000, 0.089, 0.027, -0.000, 0.093, 0.030, -0.000, 0.093, 
0.660, 0.000, 0.092, 0.029, 0.000, 0.091, 0.028, 0.000, 0.091, 0.029, -0.000, 0.089, 0.027, -0.000, 0.093, 0.030, -0.000, 0.093, 
0.660, 0.000, 0.092, 0.029, 0.000, 0.091, 0.028, 0.000, 0.091, 0.029, -0.000, 0.089, 0.027, -0.000, 0.093, 0.030, -0.000, 0.093, 
0.675, 0.000, 0.089, 0.025, 0.000, 0.088, 0.025, 0.000, 0.088, 0.026, -0.000, 0.086, 0.024, -0.000, 0.089, 0.026, -0.000, 0.089, 
0.675, 0.000, 0.089, 0.025, 0.000, 0.088, 0.025, 0.000, 0.088, 0.026, -0.000, 0.086, 0.024, -0.000, 0.089, 0.026, -0.000, 0.089, 
0.675, 0.000, 0.089, 0.025, 0.000, 0.088, 0.025, 0.000, 0.088, 0.026, -0.000, 0.086, 0.024, -0.000, 0.089, 0.026, -0.000, 0.089, 
0.690, 0.000, 0.086, 0.022, 0.000, 0.085, 0.022, 0.000, 0.085, 0.023, -0.000, 0.083, 0.021, -0.000, 0.086, 0.023, -0.000, 0.086, 
0.690, 0.000, 0.086, 0.022, 0.000, 0.085, 0.022, 0.000, 0.085, 0.023, -0.000, 0.083, 0.021, -0.000, 0.086, 0.023, -0.000, 0.086, 
